# [MS-ERREF] 2.2 Win32 Error Codes, extracted by extract_ms_erref.py --table win32.
# Source: https://learn.microsoft.com/en-us/openspecs/windows_protocols/ms-erref/18d8fbe8-a967-4f1c-ae50-99ca8e491d2d
# Columns: code (hex, no prefix), symbolic name, description.
# Rows are in specification order; a code may carry more than one name.
0000024B	ERROR_MUTANT_LIMIT_EXCEEDED	An attempt was made to acquire a mutant such that its maximum count would have been exceeded.
0000024C	ERROR_FS_DRIVER_REQUIRED	A volume has been accessed for which a file system driver is required that has not yet been loaded.
0000024D	ERROR_CANNOT_LOAD_REGISTRY_FILE	{Registry File Failure} The registry cannot load the hive (file): %hs or its log or alternate. It is corrupt, absent, or not writable.
0000024E	ERROR_DEBUG_ATTACH_FAILED	{Unexpected Failure in DebugActiveProcess} An unexpected failure occurred while processing a DebugActiveProcess API request. Choosing OK will terminate the process, and choosing Cancel will ignore the error.
0000024F	ERROR_SYSTEM_PROCESS_TERMINATED	{Fatal System Error} The %hs system process terminated unexpectedly with a status of 0x%08x (0x%08x 0x%08x). The system has been shut down.
00000250	ERROR_DATA_NOT_ACCEPTED	{Data Not Accepted} The transport driver interface (TDI) client could not handle the data received during an indication.
00000251	ERROR_VDM_HARD_ERROR	The NT Virtual DOS Machine (NTVDM) encountered a hard error.
00000252	ERROR_DRIVER_CANCEL_TIMEOUT	{Cancel Timeout} The driver %hs failed to complete a canceled I/O request in the allotted time.
00000253	ERROR_REPLY_MESSAGE_MISMATCH	{Reply Message Mismatch} An attempt was made to reply to a local procedure call (LPC) message, but the thread specified by the client ID in the message was not waiting on that message.
00000254	ERROR_LOST_WRITEBEHIND_DATA	{Delayed Write Failed} Windows was unable to save all the data for the file %hs. The data has been lost. This error might be caused by a failure of your computer hardware or network connection. Try to save this file elsewhere.
00000255	ERROR_CLIENT_SERVER_PARAMETERS_INVALID	The parameters passed to the server in the client/server shared memory window were invalid. Too much data might have been put in the shared memory window.
00000256	ERROR_NOT_TINY_STREAM	The stream is not a tiny stream.
00000257	ERROR_STACK_OVERFLOW_READ	The request must be handled by the stack overflow code.
